2026-02-17T08:39:16.981Z | GET /health | Auth: No
2026-02-17T08:39:50.458Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:39:50.464Z | GET /api/sensors | Auth: Yes
2026-02-17T08:40:50.471Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:40:50.476Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:41:50.460Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:41:50.469Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:42:50.460Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:42:50.469Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:43:50.460Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:43:50.464Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:44:50.460Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:44:50.470Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:45:50.457Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:45:50.463Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:46:50.459Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:46:50.469Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:47:50.460Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:47:50.465Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:48:50.460Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:48:50.467Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:49:50.460Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:49:50.468Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:50:50.459Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:50:50.468Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:51:50.459Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:51:50.468Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:52:50.459Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:52:50.466Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:53:50.456Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:53:50.461Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:54:50.454Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:54:50.456Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:55:50.457Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:55:50.465Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:56:50.454Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:56:50.457Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:57:50.459Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:57:50.462Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:58:50.460Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:58:50.466Z | GET /api/sensors | Auth: Invalid
2026-02-17T08:59:50.459Z | OPTIONS /api/sensors | Auth: No
2026-02-17T08:59:50.467Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:00:49.740Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:00:49.744Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:00:53.756Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:00:56.933Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:00:58.627Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:00:58.630Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:01:09.457Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:01:09.464Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:01:19.458Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:01:19.465Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:01:29.458Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:01:29.466Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:01:39.454Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:01:39.457Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:01:49.458Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:01:49.463Z | GET /api/sensors | Auth: Invalid
2026-02-17T09:01:59.457Z | OPTIONS /api/sensors | Auth: No
2026-02-17T09:01:59.461Z | GET /api/sensors | Auth: Invalid
